slate_date,game_id,scheduled_start,team,side,open_timestamp,last_timestamp,events,actual_price_changes,open_price,current_price,ml_close_market,net_move_cents,net_move_implied_pp,max_toward_cents,max_away_cents,max_excursion_cents,max_toward_timestamp,max_away_timestamp,largest_single_move_cents,largest_single_move_timestamp,significant_reversals,reversal_from_max_toward_cents,late_move_cents_3h,late_move_cents_1h,coverage_3h,coverage_1h,minutes_before_start_last_seen,observed_path_hours,path_type,bet_pct,money_pct,money_ticket_delta_recap,total_game_bets,bet_count_percentile,bet_count_vs_daily_median,is_favorite_open,is_underdog_open,line_flip,line_flip_direction,pattern_version,pattern_tags,display_tags,has_observed_pattern,forward_frozen,signal_key,signal_version,trigger_timestamp,signal_ml_open,trigger_market_price,ml_move_cents_trigger,bet_pct_trigger,money_pct_trigger,bet_count,runline,runline_price,evidence_mode,win,loss,run_diff,result,forward_units,retrospective_units,graded,season,season_type,series_game_number,won_previous_game,lost_previous_game,rest_days,played_previous_day
20260828,294389,2026-08-28 23:10:00+00:00,CLE,home,2026-08-27 20:41:55.562801+00:00,2026-08-28 22:37:55.221575+00:00,17,16,-138.0,-132.0,-129.0,-6.0,-1.0866415531729956,3.0,-6.0,6.0,2026-08-28 05:20:25.366588+00:00,2026-08-28 12:22:55.473883+00:00,5.0,2026-08-28 12:33:25.644228+00:00,1,9.0,-2.0,-2.0,True,True,32.07964041666666,25.933238548333332,STABLE,64.0,66.0,2.0,10511.0,25.0,0.9103585657370518,True,False,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-3,L,,,True,2026,reg,1,True,False,1.0,False
20260828,294389,2026-08-28 23:10:00+00:00,KC,away,2026-08-27 20:41:55.569639+00:00,2026-08-28 17:21:55.528773+00:00,14,14,118.0,117.0,120.0,1.0,0.2113896757282352,3.0,-2.0,3.0,2026-08-28 00:20:55.291287+00:00,2026-08-27 21:46:26.759506+00:00,3.0,2026-08-28 12:22:55.480952+00:00,0,2.0,,,False,False,348.07452045,20.666655315,STABLE,36.0,34.0,-2.0,10511.0,25.0,0.9103585657370518,False,True,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,True,False,3,W,,,True,2026,reg,1,True,False,0.0,True
20260828,294390,2026-08-28 23:10:00+00:00,SD,away,2026-08-27 20:04:55.693467+00:00,2026-08-28 23:02:55.566773+00:00,14,14,110.0,111.0,114.0,-1.0,-0.22568269013766296,9.0,-6.0,9.0,2026-08-28 07:50:55.455387+00:00,2026-08-28 12:42:26.999430+00:00,10.0,2026-08-28 07:50:55.455387+00:00,1,10.0,5.0,0.0,True,True,7.073887116666667,26.96663147388889,STABLE,28.0,17.0,-11.0,12556.0,65.0,1.0874761822276113,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-5,L,,,True,2026,reg,1,True,False,1.0,False
20260828,294390,2026-08-28 23:10:00+00:00,TB,home,2026-08-27 20:04:55.705649+00:00,2026-08-28 23:02:55.556081+00:00,15,14,-132.0,-127.0,-124.0,-5.0,-0.9494151602612799,3.0,-7.0,7.0,2026-08-28 06:40:55.296057+00:00,2026-08-28 22:24:55.300025+00:00,-2.0,2026-08-28 11:14:26.202115+00:00,0,8.0,-5.0,0.0,True,True,7.074065316666666,26.966625120000003,STABLE,72.0,83.0,11.0,12556.0,65.0,1.0874761822276113,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,True,False,5,W,,,True,2026,reg,1,True,False,1.0,False
20260828,294386,2026-08-28 23:15:00+00:00,BOS,away,2026-08-27 20:04:55.767998+00:00,2026-08-28 19:41:26.283048+00:00,13,13,135.0,135.0,136.0,0.0,0.0,2.0,-5.0,5.0,2026-08-28 19:22:55.761329+00:00,2026-08-27 20:52:25.703856+00:00,5.0,2026-08-28 12:36:26.379392+00:00,0,2.0,,,False,False,213.56194920000002,23.60847640277778,STABLE,27.0,50.0,23.0,13853.0,85.0,1.1998094578208904,False,True,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-1,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294386,2026-08-28 23:15:00+00:00,NYY,home,2026-08-27 20:04:55.775531+00:00,2026-08-28 21:51:25.909786+00:00,22,22,-161.0,-156.0,-149.0,-5.0,-0.7483237547892707,9.0,-11.0,11.0,2026-08-27 20:54:26.790357+00:00,2026-08-28 16:05:25.952677+00:00,5.0,2026-08-27 20:11:55.807640+00:00,2,14.0,6.0,,True,False,83.56817023333333,25.775037293055554,STABLE,73.0,50.0,-23.0,13853.0,85.0,1.1998094578208904,True,False,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE|PATH_REVERSAL,MONEY_TICKET_DIVERGENCE|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,1,W,,,True,2026,reg,1,False,True,0.0,True
20260828,294387,2026-08-28 23:15:00+00:00,SEA,away,2026-08-28 09:00:55.294656+00:00,2026-08-28 22:14:25.994974+00:00,23,23,130.0,127.0,130.0,3.0,0.57460256655813,4.0,-26.0,26.0,2026-08-28 20:20:55.282788+00:00,2026-08-28 11:40:26.934732+00:00,-13.0,2026-08-28 11:40:26.934732+00:00,1,1.0,3.0,,True,False,60.56675043333333,13.22519453277778,FAILED_STEAM,22.0,19.0,-3.0,8895.0,11.666666666666666,0.7703966741728737,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-7,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294387,2026-08-28 23:15:00+00:00,TOR,home,2026-08-28 09:00:55.309059+00:00,2026-08-28 23:02:55.457821+00:00,26,26,-156.0,-140.0,-140.0,-16.0,-2.604166666666663,24.0,-16.0,24.0,2026-08-28 13:12:26.439167+00:00,2026-08-28 23:02:55.457821+00:00,-12.0,2026-08-28 13:26:26.483350+00:00,1,40.0,-7.0,-1.0,True,True,12.075702983333334,14.03337465611111,REVERSAL,78.0,81.0,3.0,8895.0,11.666666666666666,0.7703966741728737,True,False,False,,market_patterns_v1,FAVORITE_RESISTANCE|PATH_REVERSAL,FAVORITE_RESISTANCE|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,7,W,,,True,2026,reg,1,False,True,0.0,True
20260828,294391,2026-08-28 23:15:00+00:00,ATL,home,2026-08-27 22:24:55.536424+00:00,2026-08-28 17:32:55.457178+00:00,20,17,-200.0,-221.0,-218.0,21.0,2.180685358255452,30.0,0.0,30.0,2026-08-28 09:50:25.603338+00:00,2026-08-27 22:24:55.536424+00:00,-20.0,2026-08-27 23:20:25.711716+00:00,3,9.0,,,False,False,342.0757137,19.133311320555556,CHOPPY,94.0,97.0,3.0,14171.0,91.66666666666666,1.227351463710376,True,False,False,,market_patterns_v1,PUBLIC_STEAM|PATH_REVERSAL,PUBLIC_STEAM|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,2,W,,,True,2026,reg,1,True,False,0.0,True
20260828,294391,2026-08-28 23:15:00+00:00,COL,away,2026-08-27 22:24:55.525352+00:00,2026-08-28 23:02:55.611374+00:00,22,19,165.0,191.0,200.0,-26.0,-3.3715878882188965,0.0,-30.0,30.0,2026-08-27 22:24:55.525352+00:00,2026-08-28 15:53:55.444625+00:00,15.0,2026-08-27 23:20:25.721624+00:00,2,26.0,4.0,4.0,True,True,12.073143766666668,24.633357228333335,CHOPPY,6.0,3.0,-3.0,14171.0,91.66666666666666,1.227351463710376,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-2,L,,,True,2026,reg,1,False,True,0.0,True
20260828,294392,2026-08-28 23:40:00+00:00,MIL,home,2026-08-27 20:04:55.876378+00:00,2026-08-28 23:36:27.490181+00:00,35,32,-167.0,-216.0,-215.0,49.0,5.807613900346087,49.0,0.0,49.0,2026-08-28 23:36:27.490181+00:00,2026-08-27 20:04:55.876378+00:00,15.0,2026-08-28 16:18:55.622087+00:00,6,0.0,11.0,4.0,True,True,3.5418303166666667,27.525448278611112,CHOPPY,96.0,93.0,-3.0,11733.0,58.333333333333336,1.0161960852243201,True,False,False,,market_patterns_v1,PUBLIC_STEAM|PATH_REVERSAL,PUBLIC_STEAM|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,5,W,,,True,2026,reg,1,True,False,0.0,True
20260828,294392,2026-08-28 23:40:00+00:00,TEX,away,2026-08-27 20:04:55.870629+00:00,2026-08-28 16:18:55.632515+00:00,21,18,140.0,182.0,198.0,-42.0,-6.205673758865249,0.0,-42.0,42.0,2026-08-27 20:04:55.870629+00:00,2026-08-28 16:18:55.632515+00:00,-15.0,2026-08-28 16:07:25.421907+00:00,0,42.0,,,False,False,441.07279141666663,20.233267190555555,SUSTAINED_AWAY,4.0,7.0,3.0,11733.0,58.333333333333336,1.0161960852243201,False,True,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-5,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294393,2026-08-29 00:10:00+00:00,CWS,away,2026-08-27 20:02:55.771279+00:00,2026-08-28 23:43:55.905720+00:00,21,18,-100.0,115.0,117.0,-3.4883720930232567,-3.4883720930232567,5.0,-3.4883720930232567,5.0,2026-08-27 21:10:55.364947+00:00,2026-08-28 23:43:55.905720+00:00,-8.0,2026-08-28 13:21:25.637265+00:00,0,8.488372093023257,-3.0,-3.0,True,True,26.068238,27.683370678055557,STABLE,48.0,56.0,8.0,13596.0,78.33333333333333,1.1775506668976268,False,True,True,FAV_TO_DOG,market_patterns_v1,LINE_FLIP,LINE_FLIP,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,3,W,,,True,2026,reg,1,True,False,1.0,False
20260828,294393,2026-08-29 00:10:00+00:00,MIN,home,2026-08-27 20:02:55.786078+00:00,2026-08-28 23:43:55.900096+00:00,26,25,-120.0,-131.0,-127.0,11.0,2.164502164502169,11.0,-5.0,11.0,2026-08-28 23:21:55.375975+00:00,2026-08-27 20:59:25.688670+00:00,7.0,2026-08-28 13:24:55.682759+00:00,0,0.0,3.0,2.0,True,True,26.06833173333333,27.683365005,SUSTAINED_TOWARD,52.0,44.0,-8.0,13596.0,78.33333333333333,1.1775506668976268,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-3,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294394,2026-08-29 00:15:00+00:00,PIT,away,2026-08-27 20:11:56.092010+00:00,2026-08-28 23:24:55.930700+00:00,22,22,-116.0,-115.0,-112.0,-1.0,-0.21533161068045814,3.0,-6.0,6.0,2026-08-28 02:53:25.786784+00:00,2026-08-27 20:49:55.629714+00:00,-6.0,2026-08-27 20:49:55.629714+00:00,0,4.0,-1.0,-1.0,True,True,50.06782166666667,27.216621858333333,STABLE,52.0,52.0,0.0,10168.0,18.333333333333332,0.8806513078122293,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-3,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294394,2026-08-29 00:15:00+00:00,STL,home,2026-08-27 20:11:56.081226+00:00,2026-08-28 23:24:55.921386+00:00,19,19,-102.0,100.0,104.0,-0.4950495049504955,-0.4950495049504955,8.0,-2.0,8.0,2026-08-27 20:49:55.619146+00:00,2026-08-28 02:53:25.777547+00:00,8.0,2026-08-27 20:49:55.619146+00:00,1,8.495049504950495,1.0,1.0,True,True,50.0679769,27.21662226666667,STABLE,48.0,48.0,0.0,10168.0,18.333333333333332,0.8806513078122293,False,True,True,FAV_TO_DOG,market_patterns_v1,LINE_FLIP|PATH_REVERSAL,LINE_FLIP|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,3,W,,,True,2026,reg,1,True,False,0.0,True
20260828,294395,2026-08-29 01:38:00+00:00,LAA,home,2026-08-27 20:11:56.168685+00:00,2026-08-29 01:16:55.528725+00:00,25,23,114.0,103.0,105.0,11.0,2.5321117812255434,12.0,-6.0,12.0,2026-08-29 00:04:55.468384+00:00,2026-08-28 00:53:25.462691+00:00,4.0,2026-08-28 22:26:55.613038+00:00,0,1.0,3.0,-1.0,True,True,21.07452125,29.083155566666665,SUSTAINED_TOWARD,25.0,26.0,1.0,11546.0,51.66666666666667,1.0,False,True,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-2,L,,,True,2026,reg,1,False,True,1.0,False
20260828,294395,2026-08-29 01:38:00+00:00,PHI,away,2026-08-27 20:11:56.175273+00:00,2026-08-29 00:54:27.231201+00:00,24,23,-134.0,-118.0,-115.0,-16.0,-3.136516897984787,11.0,-16.0,16.0,2026-08-27 21:00:55.869095+00:00,2026-08-28 22:35:25.830808+00:00,10.0,2026-08-27 21:00:55.869095+00:00,1,27.0,0.0,0.0,True,True,43.54614665,28.708626646666666,REVERSAL,75.0,74.0,-1.0,11546.0,51.66666666666667,1.0,True,False,False,,market_patterns_v1,FAVORITE_RESISTANCE|PATH_REVERSAL,FAVORITE_RESISTANCE|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,2,W,,,True,2026,reg,1,True,False,1.0,False
